Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
299,歉,qiàn,apology  ,543.26,1,,,,,,,,
300,选,xuǎn,select  ,542.66,1,,,,,,,,
301,嗨,hāi,hey  ,541.08,1,,,,,,,,
302,房,fáng,house  ,538.97,1,,,,,,,,
303,命,mìng,life  ,534.02,1,,,,,,,,
304,且,qiě,and  ,528.89,1,,,,,,,,
305,向,xiàng,towards  ,525.09,1,,,,,,,,
306,兴,xīng,excitement  ,521.72,1,,,,,,,,
307,球,qiú,ball  ,519.86,1,,,,,,,,
308,服,fú,clothing  ,518.33,1,,,,,,,,
309,入,rù,enter  ,518.11,1,,,,,,,,
310,照,zhào,shine  ,517.77,1,,,,,,,,
311,提,tí,raise  ,512.97,1,,,,,,,,
312,掉,diào,drop  ,508.53,1,,,,,,,,
313,夫,fū,husband  ,507.4,1,,,,,,,,
314,路,lù,route  ,500.88,1,,,,,,,,
315,演,yǎn,perform  ,498.98,1,,,,,,,,
316,够,gòu,enough  ,496.55,1,,,,,,,,
317,日,rì,sun  ,494.25,1,,,,,,,,
318,案,àn,case  ,491.32,1,,,,,,,,
319,舞,wǔ,dance  ,487.44,1,,,,,,,,
320,决,jué,decide  ,486.71,1,,,,,,,,
321,求,qiú,request  ,486.18,1,,,,,,,,
322,约,yuē,appointment  ,486,1,,,,,,,,
323,字,zì,word  ,485.54,1,,,,,,,,
324,呃,è,uh  ,485.34,1,,,,,,,,
325,肯,kěn,agree  ,484.83,1,,,,,,,,
326,目,mù,eye  ,479.96,1,,,,,,,,
327,笑,xiào,laugh  ,475.69,1,,,,,,,,
328,伤,shāng,hurt  ,472.81,1,,,,,,,,
329,神,shén,spirit  ,471.32,1,,,,,,,,
330,父,fù,father  ,471.06,1,,,,,,,,
331,指,zhǐ,point  ,470.1,1,,,,,,,,
332,报,bào,report  ,467.62,1,,,,,,,,
333,留,liú,leave  ,466.66,1,,,,,,,,
334,水,shuǐ,water  ,465.25,1,,,,,,,,
335,教,jiào,teach  ,464.72,1,,,,,,,,
336,枪,qiāng,gun  ,463.95,1,,,,,,,,
337,清,qīng,clear  ,462.41,1,,,,,,,,
338,色,sè,color  ,461.65,1,,,,,,,,
339,号,hào,number  ,460.51,1,,,,,,,,
340,世,shì,world  ,460.41,1,,,,,,,,
341,远,yuǎn,far  ,460,1,,,,,,,,
342,片,piàn,slice  ,457.53,1,,,,,,,,
343,官,guān,off,456.97,1,,,,,,,,
344,口,kǒu,mouth  ,456.54,1,,,,,,,,
345,师,shī,master/teacher  ,455.28,1,,,,,,,,
346,原,yuán,origin  ,454.17,1,,,,,,,,
347,酒,jiǔ,alcohol  ,451.97,1,,,,,,,,
348,周,zhōu,week  ,450.29,1,,,,,,,,
349,星,xīng,star  ,447.77,1,,,,,,,,
350,识,shí,know  ,445.72,1,,,,,,,,
351,赛,sài,compete  ,436.69,1,,,,,,,,
352,救,jiù,save  ,436.01,1,,,,,,,,
353,底,dǐ,bottom  ,431.46,1,,,,,,,,
354,棒,bàng  ,stick,427.19,1,,,,,,,,
355,须,xū,must  ,425.82,1,,,,,,,,
356,收,shōu,collect  ,420.83,1,,,,,,,,
357,交,jiāo,interact  ,418.84,1,,,,,,,,
358,坐,zuò,sit  ,418.71,1,,,,,,,,
359,停,tíng,stop  ,417.67,1,,,,,,,,
360,卡,kǎ,card  ,417.07,1,,,,,,,,
361,尼,ní,Ni  ,417.01,1,,,,,,,,
362,婚,hūn,marriage  ,416.17,1,,,,,,,,
363,格,gé,standard  ,415.81,1,,,,,,,,
364,眼,yǎn,eye  ,410.9,1,,,,,,,,
365,金,jīn,gold  ,410.11,1,,,,,,,,
366,蛋,dàn,egg  ,408.51,1,,,,,,,,
367,息,xī,rest  ,407.89,1,,,,,,,,
368,室,shì,room  ,407.83,1,,,,,,,,
