Number,Chinese,Part,Freq,Difficulty
262,父母,common noun,5081,1
263,到底,"adverb, verb",5066.5,1
264,了解,"verb, verb with nominal function",5063.5,1
265,事实,common noun,5029,1
266,结束,"verb, verb with nominal function",5025,1
267,飞机,common noun,5020,1
268,永远,"adverb, non-predicate adjective",5018,1
269,家庭,common noun,5017,1
270,帮助,"verb, verb with nominal function",5016.5,1
271,来说,"auxiliary, verb",5013,1
272,尸体,common noun,4994,1
273,打开,verb,4989,1
274,早上,time word,4953,1
275,有人,"personal name, pronoun",4938.5,1
276,玩笑,common noun,4933,1
277,任务,common noun,4929,1
278,现场,space word,4917,1
279,博士,common noun,4881,1
280,直到,verb,4866,1
281,简直,adverb,4843,1
282,放弃,verb,4823,1
283,小子,common noun,4818,1
284,电视,common noun,4816,1
285,的确,adverb,4803,1
286,回到,verb,4787,1
287,男孩,common noun,4779,1
288,音乐,common noun,4776,1
289,认识,"common noun, verb, verb with nominal function",4768,1
290,身体,common noun,4764,1
291,留下,verb,4720,1
292,方式,common noun,4711,1
293,监狱,common noun,4671,1
294,这边,pronoun,4651,1
295,重新,adverb,4637,1
296,肯定,"adjective, adverb, verb, verb with nominal function",4632.75,1
297,收到,verb,4605,1
298,其中,pronoun,4603,1
299,计划,"common noun, verb",4584.5,1
300,纽约,place name ,4566,1
301,后面,directional locality,4500,1
302,说话,"verb, verb with nominal function",4492.5,1
303,带来,verb,4492,1
304,昨天,time word,4483,1
305,抓住,verb,4481,1
306,老兄,common noun,4467,1
307,来自,verb,4462,1
308,大学,common noun,4455,1
309,太太,common noun,4432,1
310,感谢,"verb, verb with nominal function",4430,1
311,实际上,adverb,4410,1
312,并且,conjunction,4389,1
313,对于,preposition,4373,1
314,开枪,verb,4364,1
315,欢迎,"verb, verb with nominal function",4337,1
316,除非,conjunction,4299,1
317,终于,adverb,4273,1
318,拥有,verb,4267,1
319,派对,common noun,4231,1
320,不再,adverb,4205,1
321,咖啡,common noun,4195,1
322,方法,common noun,4174,1
323,能力,common noun,4136,1
324,目标,common noun,4123,1
325,无法,"adverb, verb",4113,1
326,精神,common noun,4099,1
327,每天,pronoun,4072,1
328,凶手,common noun,4064,1
329,介意,verb,4053,1
330,试试,verb,4052,1
331,唯一,"adverb, non-predicate adjective",4011.5,1
332,睡觉,verb,3999,1
333,礼物,common noun,3988,1
334,那种,pronoun,3987,1
335,各位,pronoun,3982,1
336,头发,common noun,3955,1
337,选择,"verb, verb with nominal function",3942.5,1
338,干吗,verb,3924,1
339,兴趣,common noun,3922,1
340,可是,"adverb, conjunction, verb",3913,1
341,从没,adverb,3907,1
342,老师,common noun,3879,1
343,不用,adverb,3859,1
344,小孩,common noun,3859,1
345,人类,common noun,3857,1
346,好好,"adverb, descriptive",3852,1
347,星期,common noun,3837,1
