Name,Chinese,Pinyin,English,
381,对外经济贸易大学,duì wài jīng jì mào yì dà xué,Beijing international economics and trade school (UIBE),
382,三头六臂,sān tóu liù bì,multitasking,
383,互联网,hù lián wǎng,internet,
384,名词,míng cí,noun,
385,动词,dòng cí,verb,
386,形容词,xíng róng cí,adjective,
387,副词,fù cí,adverb,
388,介词,jiè cí,preposition,
389,相处,xiāng chǔ,get along,
390,幸运,xìng yùn,fortune,
391,运气,yùn qì,happenstance,
392,吃到苦,chī dào kǔ,suffer,
393,山海,shān hài,a famous collection of myths,
394,提莫,tí mò,topic,
395,优势,yōu shì,advantage,
396,参考,cān kǎo,source,
397,萍水相逢,píng shuǐ xiāng féng,"by chance, we meet briefly, as two water plants drifting in a current may briefly intertwine",
398,各奔东西,gè bēn dōng xī,each go our own separate ways,
399,铁树开花,tiě shù kāi huā,rare occurrence,
400,叶落归根,yè luò guī gēn,"as we grow old, we wish to return to our origins, as the leaf returns to the root from whence it came",
401,社区,shè qū,community,
402,新冠,xīn guàn,virus,
403,冠军,guàn jūn,champion,
404,长期,cháng qī,long-term,
405,可造之材,kě zào zhī cái,has potential,
406,无性别,wú xìng bié,gender,
407,大众,dà zhòng,public,
408,承认,chéng rèn,"recognize, admit",
409,公共服务,gōng gòng fú wù,public service,
410,公务员,gōng wù rén,public servant,
411,烘焙店,hōng bèi diàn,bakery,
412,分享,fēn xiǎng,share,
413,无穷,wú qióng,infinite,
414,约会平台,yuē huì píng tái,dating platform,
415,员工,yuán gōng,employee,
416,模糊,mó hù,blurry,
417,相通,xiāng tóng,similar,
418,培训,péi xùn,training,
419,焦虑,jiāo lǜ,anxiety,
420,教育政策研究,jiào yù zhèng cè yán jiū,education policy research,
421,尝试,cháng shì,try,
422,说三道四,shuō sān dào sì,say nonsense,
423,指手画脚,zhǐ shǒu huà jiǎo,finger pointing,
424,思路是对的,sī lù shì duì de,train of thought is correct,
425,闺蜜,guī mì,best friends (usually girls),
426,书评,shū píng,book review,
427,观众,guān zhòng,audience,
428,小组作业,xiǎo zǔ zuò yè,group work,
429,建筑,jiàn zhú,architecture,
430,谈谈,tán tán,discuss,
431,阴性,yīn xìng,negative (assay result),
432,阳性,yáng xìng,positive (assay result),
433,毒品,dú pǐn,drugs,
434,爱屋及乌,ài wū jí wū,your love for someone extends even to the crows on their roof,
435,心意到了就好,xīn yì dào le jiù hǎo,it's the thought that counts,
436,负数,fù shù,negative number,
437,正数,zhèng shù,positive number,
438,整数,zhěng shù,whole number,
439,正能量,zhèng néng liàng,positive energy,
440,重色轻友,zhòng sè qīng yǒu,when you get an SO you neglect your friends,
441,文学作品,wén xué zuò pǐn,literature,
442,取笑,qǔ xiào,make fun of,
443,独一无二,dú yī wú èr,unique,
444,独特,dú tè,unique,
445,对号入座,duì hào rù zuò,seat according to your number (take something personally),
446,对话,duì huà,dialogue,
447,共鸣,gòng míng,sympathize/resonate,
448,寄养家庭,jì yǎng jiā tíng,foster family,
449,寄宿学校,jì yǎng xué xiào,boarding school,
450,液体,yè tǐ,liquid,
451,固体,gù tǐ,solid,
452,气体,qì tǐ,gas,
453,标题,biāo tí,heading,
454,内容,nèi róng,content,
455,职位,zhǐ wèi,position (as in a job),
456,款式,kuǎn shì,"style (as in fashion, type)",
457,歧视,qí shì,prejudice,
458,种族歧视,zhǒng zú qí shì,racist,
459,移民,yí mín,immigrate,
460,边界,biān jiè,boundary,
461,人生如梦,rén shēng rú mèng,"life is but a dream (my first words) (time flies, nothing is real) ",
462,二手,èr shǒu,secondhand,
463,城堡,chéng bǎo,castle,
464,难民,nán mín,refugee,
465,帐篷,zhàng péng,tent,
466,统一,tǒng yī,unified,
467,汇,huì,converge (as rivulets into a river),
468,精力,jīng lì,energy,
469,对方,duì fāng,the other,
470,强扭的瓜不甜,qiáng niǔ de guā bù tián,if it takes too much effort the result isn't worth it,
471,列表,liè biǎo,list,
472,频道,pín dào,(television) channel,
473,私信,sī xìn,DM,
474,抱团,bào tuán,meet up,
475,提及,tí jí,"mention, @",
476,添加,tiān jiā,add,
477,连接,lián jiē,connect,
478,团队,tuán duì,team,
479,成员,chéng yuán,member,
480,保存,bǎo cún,"save, preserve",
481,档案,dǎng àn,file,
482,离线,lí xiàn,offline,
483,未读,wèi dú,unread,
484,用户组,yòng hù zǔ,user group,
485,自定义,zì dìng yì,customize,
486,本,běn,this,
487,首选项,shǒu xuǎn xiàng,preferences,
488,通知,tōng zhī,notifications,
489,侧栏,cè lán,sidebar,
490,媒体,méi tǐ,media,
491,地区,dì qū,area,
492,辅助功能,fǔ zhù gōng néng,accessibility,
493,标记,biǎo jì,mark,
494,音频,yín pín,audio,
495,帐户,zhàng hù,account,
496,隐私,yǐn sī,privacy,
497,可见性,kě jiàn xìng,visibility,
