chinese,pinyin,english,speech
转至, zhuǎn zhì, go to,
艺人, yì rén, artist,
包含, bāo hán, include,
专辑, zhuān jí, album,
删除, shān chú, remove,
个人资料, gè rén zī liào, personal profile,
编辑, biān jí, edit,
详情, xiáng qíng, details,
重命名, zhòng mìng míng, rename,
文件夹, wén jiàn jiā, ,
创建, chuàng jiàn, create,
设为, shè wèi, set as,
共同创建者, gōng tóng chuàng jiàn zhě, co-creators,
嵌入, qiàn rù, embed,
屏蔽, píng bì, ,
举报, jǔ bào, report ,
公开, gōng kāi, public,
喜好, xǐ hào,,
热门, rè mén, popular,
感伤, gǎn shāng, sentimental,
弛放, chí fàng, relaxing,
浪漫, làng màn, romantic,
相似, xiāng sì, similar,
动向, dòng xiàng, trend,
专属, zhuān shǔ, exclusive,
重复, chóng fù, repeat,
厌, yàn, disgusted,
制作, zhì zuò, make,
时光胶囊, shí guāng jiāo náng, time capsule,
通勤, tōng qín, daily commute,
回味过往, huí wèi guò wǎng, reminisce,
聆听, líng tīng, listen,
听众, tīng zhòng, audience,
目录, mù lù, catalog,
唱片, chàng piàn, record,
精选辑, jīng xuǎn jí, best of collection,
发布, fā bù, release,
单曲, dān qǔ, single ,
巡回, xún huí, tour,
此, cǐ, this,
刷新, shuā xīn, refresh,
